央视&卫视,#genre#
CCTV1综合,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227479/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.65:5140$成都单播
CCTV2财经,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227477/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.108:5140$成都单播
CCTV3综艺,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227435/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.101:5140$成都单播
CCTV4国际,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227373/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.109:5140$成都单播
CCTV5体育,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227491/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.100:5140$成都单播
CCTV6电影,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227431/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.102:5140$成都单播
CCTV7国防军事,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227429/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.110:5140$成都单播
CCTV8电视剧,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227427/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.103:5140$成都单播
CCTV9纪录,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227425/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.111:5140$成都单播
CCTV10科教,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227375/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.112:5140$成都单播
CCTV11戏曲,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227922/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.22:5140$成都单播
CCTV12社会与法,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227377/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.113:5140$成都单播
CCTV13新闻,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227926/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.24:5140$成都单播
CCTV14少儿,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227379/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.114:5140$成都单播
CCTV15音乐,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227933/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.26:5140$成都单播
CCTV5+体育赛事,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227493/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.241:5140$成都单播
CCTV17农村农业,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227577/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.107:5140$成都单播
凤凰资讯,http://61.221.81.93:8078/hls/20/80/phoenixif.m3u8$源1#https://live.goodiptv.club/api/sxg.php?id=test2_4000$源2#http://111.20.40.170/PLTV/88888893/224/3221226546/index.m3u8$源3
凤凰中文,http://61.221.81.93:8078/hls/21/80/phoenixch.m3u8$源1#https://live.goodiptv.club/api/sxg.php?id=test1_4000$源2
湖南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227369/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.119:5140$成都单播
浙江卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227351/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.70:5140$成都单播
东方卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227401/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.68:5140$成都单播
深圳卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227419/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.71:5140$成都单播
广东卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227361/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.115:5140$成都单播
北京卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227397/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.121:5140$成都单播
天津卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227343/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.123:5140$成都单播
重庆卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227359/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.116:5140$成都单播
辽宁卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227345/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.118:5140$成都单播
安徽卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227363/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.117:5140$成都单播
湖北卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227367/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.74:5140$成都单播
河北卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227399/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.31:5140$成都单播
河南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227923/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.44:5140$成都单播
东南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227353/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.41:5140$成都单播
江苏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227421/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.76:5140$成都单播
江西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227355/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.42:5140$成都单播
吉林卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227935/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.35:5140$成都单播
山东卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227365/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.73:5140$成都单播
山西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227183/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.32:5140$成都单播
黑龙江卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227347/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.36:5140$成都单播
