央视&卫视,#genre#
CCTV1综合HD,http://192.168.9.1:5141/rtp/239.11.0.65:5140
CCTV2财经HD,http://192.168.9.1:5141/rtp/239.11.0.108:5140
CCTV3综艺HD,http://192.168.9.1:5141/rtp/239.11.0.101:5140
CCTV4国际HD,http://192.168.9.1:5141/rtp/239.11.0.109:5140
CCTV5体育HD,http://192.168.9.1:5141/rtp/239.11.0.100:5140
CCTV6电影HD,http://192.168.9.1:5141/rtp/239.11.0.102:5140
CCTV7国防军事HD,http://192.168.9.1:5141/rtp/239.11.0.110:5140
CCTV8电视剧HD,http://192.168.9.1:5141/rtp/239.11.0.103:5140
CCTV9纪录HD,http://192.168.9.1:5141/rtp/239.11.0.111:5140
CCTV10科教HD,http://192.168.9.1:5141/rtp/239.11.0.112:5140
CCTV11戏曲HD,http://192.168.9.1:5141/rtp/239.11.0.22:5140
CCTV12社会与法HD,http://192.168.9.1:5141/rtp/239.11.0.113:5140
CCTV13新闻HD,http://192.168.9.1:5141/rtp/239.11.0.24:5140
CCTV14少儿HD,http://192.168.9.1:5141/rtp/239.11.0.114:5140
CCTV15音乐HD,http://192.168.9.1:5141/rtp/239.11.0.26:5140
CCTV5+体育赛事HD,http://192.168.9.1:5141/rtp/239.11.0.241:5140
CCTV17农村农业HD,http://192.168.9.1:5141/rtp/239.11.0.107:5140
凤凰资讯,https://live.goodiptv.club/api/sxg.php?id=test2_4000$源1
凤凰中文,https://live.goodiptv.club/api/sxg.php?id=test1_4000$源1
湖南卫视HD,http://192.168.9.1:5141/rtp/239.11.0.119:5140
浙江卫视HD,http://192.168.9.1:5141/rtp/239.11.0.70:5140
东方卫视HD,http://192.168.9.1:5141/rtp/239.11.0.68:5140
深圳卫视HD,http://192.168.9.1:5141/rtp/239.11.0.71:5140
广东卫视HD,http://192.168.9.1:5141/rtp/239.11.0.115:5140
北京卫视HD,http://192.168.9.1:5141/rtp/239.11.0.121:5140
天津卫视HD,http://192.168.9.1:5141/rtp/239.11.0.123:5140
重庆卫视HD,http://192.168.9.1:5141/rtp/239.11.0.116:5140
辽宁卫视HD,http://192.168.9.1:5141/rtp/239.11.0.118:5140
安徽卫视HD,http://192.168.9.1:5141/rtp/239.11.0.117:5140
湖北卫视HD,http://192.168.9.1:5141/rtp/239.11.0.74:5140
河北卫视HD,http://192.168.9.1:5141/rtp/239.11.0.31:5140
河南卫视HD,http://192.168.9.1:5141/rtp/239.11.0.44:5140
江苏卫视HD,http://192.168.9.1:5141/rtp/239.11.0.76:5140
江西卫视HD,http://192.168.9.1:5141/rtp/239.11.0.42:5140
吉林卫视HD,http://192.168.9.1:5141/rtp/239.11.0.35:5140
山东卫视HD,http://192.168.9.1:5141/rtp/239.11.0.73:5140
山西卫视,http://192.168.9.1:5141/rtp/239.11.0.32:5140
黑龙江卫视HD,http://192.168.9.1:5141/rtp/239.11.0.36:5140
甘肃卫视HD,http://192.168.9.1:5141/rtp/239.11.0.55:5140
贵州卫视HD,http://192.168.9.1:5141/rtp/239.11.0.51:5140
云南卫视,http://192.168.9.1:5141/rtp/239.11.0.52:5140
东南卫视HD,http://192.168.9.1:5141/rtp/239.11.0.41:5140
广西卫视HD,http://192.168.9.1:5141/rtp/239.11.0.48:5140
新疆卫视,http://192.168.9.1:5141/rtp/239.11.0.58:5140
西藏卫视,http://192.168.9.1:5141/rtp/239.11.0.53:5140
内蒙古卫视,http://192.168.9.1:5141/rtp/239.11.0.33:5140
宁夏卫视,http://192.168.9.1:5141/rtp/239.11.0.57:5140
青海卫视,http://192.168.9.1:5141/rtp/239.11.0.56:5140
陕西卫视,http://192.168.9.1:5141/rtp/239.11.0.54:5140
海南卫视HD,http://192.168.9.1:5141/rtp/239.11.0.193:5140
超高清&剧场综艺,#genre#
CCTV-16 4k,http://192.168.9.1:5141/rtp/239.11.0.67:5140
CCTV-4K,http://159.75.85.63:5679/cctv4k.php$30M源#http://cfss.cc/ds/bst.php?id=Cf-0$15M源1#http://119.28.164.110/liveplay-kk.rtxapp.com/live/program/live/cctv4k/15000000/mnf.m3u8$15M源2
CCTV-8K,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw1981574683_-2118700426/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1659435610&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
爱上4K,http://192.168.9.1:5141/rtp/239.11.0.120:5140
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
欢笑剧场4K,http://192.168.9.1:5141/rtp/239.10.0.129:5140$运营商单播#http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$IPV6

BesTV百事通HD,http://192.168.9.1:5141/rtp/239.11.0.234:5140
NewTV精品记录HD,http://192.168.9.1:5141/rtp/239.11.0.132:5140
NewTV怡伴健康HD,http://192.168.9.1:5141/rtp/239.11.0.133:5140
NewTV精品体育HD,http://192.168.9.1:5141/rtp/239.11.0.134:5140
NewTV军事评论HD,http://192.168.9.1:5141/rtp/239.11.0.136:5140
NewTV农业致富HD,http://192.168.9.1:5141/rtp/239.11.0.137:5140
NewTV古装剧场HD,http://192.168.9.1:5141/rtp/239.11.0.141:5140
NewTV动作电影HD,http://192.168.9.1:5141/rtp/239.11.0.142:5140
NewTV军旅剧场HD,http://192.168.9.1:5141/rtp/239.11.0.143:5140
NewTV惊悚悬疑HD,http://192.168.9.1:5141/rtp/239.11.0.144:5140
NewTV海外剧场HD,http://192.168.9.1:5141/rtp/239.11.0.145:5140
NewTV精品综合HD,http://192.168.9.1:5141/rtp/239.11.0.147:5140
NewTV爱情喜剧HD,http://192.168.9.1:5141/rtp/239.11.0.149:5140
NewTV精品大剧HD,http://192.168.9.1:5141/rtp/239.11.0.150:5140
NewTV中国功夫HD,http://192.168.9.1:5141/rtp/239.11.0.151:5140
NewTV金牌综艺HD,http://192.168.9.1:5141/rtp/239.11.0.152:5140
天府TV积木宝贝HD,http://192.168.9.1:5141/rtp/239.10.0.157:5140
天府TV启蒙乐园HD,http://192.168.9.1:5141/rtp/239.10.0.158:5140
成都少儿频道,http://192.168.9.1:5141/rtp/239.10.0.16:5140
金鹰卡通,http://192.168.9.1:5141/rtp/239.11.0.127:5140
优漫卡通,http://192.168.9.1:5141/rtp/239.11.0.63:5140

四川频道,#genre#
四川卫视HD,http://192.168.9.1:5141/rtp/239.11.0.78:5140
四川新闻HD,http://192.168.9.1:5141/rtp/239.11.0.5:5140
四川经济HD,http://192.168.9.1:5141/rtp/239.11.0.2:5140
四川文化旅游HD,http://192.168.9.1:5141/rtp/239.11.0.3:5140
四川乡村HD,http://192.168.9.1:5141/rtp/239.11.0.4:5140
四川影视文艺HD,http://192.168.9.1:5141/rtp/239.11.0.77:5140
四川妇女儿童HD,http://192.168.9.1:5141/rtp/239.11.0.8:5140
四川科教HD,http://192.168.9.1:5141/rtp/239.11.0.194:5140
四川交通广播,http://ls.qingting.fm/live/4886.m3u8
成都新闻综合HD,http://192.168.9.1:5141/rtp/239.10.0.11:5140
成都公共HD,http://192.168.9.1:5141/rtp/239.10.0.15:5140
成都经济资讯,http://192.168.9.1:5141/rtp/239.10.0.174:5140
成都都市生活,http://192.168.9.1:5141/rtp/239.10.0.13:5140
成都影视文艺,http://192.168.9.1:5141/rtp/239.10.0.14:5140
自贡综合频道HD,http://192.168.9.1:5141/rtp/239.10.0.83:5140
自贡公共频道HD,http://192.168.9.1:5141/rtp/239.10.0.84:5140
荣县综合频道HD,http://play.rongxianwang.net/rxzh/0835.m3u8?auth_key=1625042660-0-0-36e32b9c341e085f53b382e1cdde7a02
南充综合HD,http://192.168.9.1:5141/rtp/239.10.0.68:5140
南充公共HD,http://192.168.9.1:5141/rtp/239.10.0.69:5140
南充科教HD,http://192.168.9.1:5141/rtp/239.10.0.70:5140
凉山新闻HD,http://192.168.9.1:5141/rtp/239.10.0.64:5140
会理新闻,http://192.168.9.1:5141/rtp/239.11.0.239:5140
绵阳新闻综合HD,http://192.168.9.1:5141/rtp/239.10.0.96:5140
绵阳科教HD,http://192.168.9.1:5141/rtp/239.10.0.98:5140
宜宾新闻HD,http://192.168.9.1:5141/rtp/239.10.0.80:5140
宜宾公共HD,http://192.168.9.1:5141/rtp/239.10.0.81:5140
乐山新闻HD,http://192.168.9.1:5141/rtp/239.10.0.62:5140
乐山公共HD,http://192.168.9.1:5141/rtp/239.10.0.63:5140
眉山综合HD,http://192.168.9.1:5141/rtp/239.10.0.66:5140
眉山公共HD,http://192.168.9.1:5141/rtp/239.10.0.67:5140
仁寿综合HD,http://192.168.9.1:5141/rtp/239.10.0.36:5140
内江综合HD,http://192.168.9.1:5141/rtp/239.10.0.71:5140
内江公共HD,http://192.168.9.1:5141/rtp/239.10.0.72:5140
内江科教HD,http://192.168.9.1:5141/rtp/239.10.0.73:5140
巴中综合HD,http://192.168.9.1:5141/rtp/239.10.0.52:5140
巴中公共HD,http://192.168.9.1:5141/rtp/239.10.0.53:5140
达州新闻HD,http://192.168.9.1:5141/rtp/239.10.0.54:5140
达州公共HD,http://192.168.9.1:5141/rtp/239.10.0.55:5140
德阳新闻HD,http://192.168.9.1:5141/rtp/239.10.0.56:5140
德阳公共HD,http://192.168.9.1:5141/rtp/239.10.0.57:5140
广安新闻HD,http://192.168.9.1:5141/rtp/239.10.0.58:5140
广安公共HD,http://192.168.9.1:5141/rtp/239.10.0.59:5140
广元综合HD,http://192.168.9.1:5141/rtp/239.10.0.60:5140
广元公共HD,http://192.168.9.1:5141/rtp/239.10.0.61:5140
遂宁综合HD,http://192.168.9.1:5141/rtp/239.10.0.76:5140
遂宁公共HD,http://192.168.9.1:5141/rtp/239.10.0.77:5140
阿坝汉语HD,http://192.168.9.1:5141/rtp/239.10.0.50:5140
资阳新闻HD,http://192.168.9.1:5141/rtp/239.10.0.82:5140
成铁电视HD,http://192.168.9.1:5141/rtp/239.11.0.191:5140
攀枝花新闻综合,http://192.168.9.1:5141/rtp/239.10.0.74:5140
攀枝花公共频道,http://192.168.9.1:5141/rtp/239.10.0.75:5140
泸州1台,http://192.168.9.1:5141/rtp/239.10.0.46:5140
泸州2台,http://192.168.9.1:5141/rtp/239.10.0.47:5140
泸州3台,http://192.168.9.1:5141/rtp/239.10.0.48:5140
雅安新闻综合,http://192.168.9.1:5141/rtp/239.10.0.78:5140
雅安公共频道,http://192.168.9.1:5141/rtp/239.10.0.79:5140
甘孜新闻综合,http://192.168.9.1:5141/rtp/239.10.0.32:5140
安多卫视,http://192.168.9.1:5141/rtp/239.11.0.124:5140
